baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	1476.80527373285	0.538173075027527	0.298814087682993	1.80102979481499	0.0716981839388965	0.335782524781388
AT1G01020	3019.5129325948	-0.174118337842184	0.103783067173717	-1.67771431876007	0.0934028827847086	0.387762556901047
AT1G03987	5.37709076465172	0.045879334283834	1.15431567028854	0.0397459165328369	0.968295694478582	NA
AT1G01030	308.949858726666	-0.0193715307173973	0.150518114554995	-0.128698999284365	0.897595827280559	0.973890283662992
AT1G01040	10124.9948263937	0.200129472087123	0.112409698503821	1.78035769823117	0.0750174400289302	0.345148236318055
AT1G01046	161.580996939583	0.215565698463186	0.189377730837213	1.13828430359895	0.255001786104398	0.629457075656053
AT1G01050	8893.66735898672	-0.0861617390221583	0.0978470689695345	-0.880575575022952	0.378547583449307	0.742349428925121
AT1G01060	617.252733671898	0.753173143450374	0.133766017018552	5.63052679774353	1.79660022917324e-08	1.6577066987288e-06
AT1G01070	1188.39055133299	0.118521254878901	0.153954838496122	0.769844300034045	0.441392257808105	0.784420572295369
AT1G01080	6081.52564465738	-0.187400385932614	0.248634497105353	-0.753718362151521	0.451018353636093	0.790547322457438
AT1G01090	16812.0352538022	-0.0820073335058135	0.148606060512864	-0.551843802485528	0.581055373842427	0.857007997252435
AT1G01100	21271.0972656444	-0.22275087647547	0.127578927198734	-1.74598486886854	0.0808135811409168	0.358193416348389
AT1G01110	610.822160005095	0.0519561272923518	0.229949403095205	0.225945910678623	0.821243489429402	0.949208784702293
AT1G01120	5756.74517339395	0.505814763628381	0.207085412415161	2.44254174028605	0.0145842430042474	0.125870946255025
AT1G01130	1169.13057214562	0.0433760427757867	0.167402312301973	0.259112566483201	0.795548389182578	0.941453275835918
AT1G01140	10414.2025015668	0.265225220806414	0.141211792435394	1.87820872628437	0.060352616872346	0.306522678246378
AT1G01150	68.9946925281895	-0.0137760935578459	0.407737030291504	-0.0337867118618021	0.973047232294976	0.994665232608899
AT1G01160	3692.42168169163	0.122326905543927	0.0901501033966158	1.35692473924016	0.174805125234175	0.529291170014845
AT1G04007	116.705584456822	0.101417255441371	0.232503733002485	0.436196245676136	0.66269435161465	0.893921718644379
AT1G01170	3069.93179637068	-0.367673659514501	0.142892889244117	-2.57307177046697	0.0100800302265192	0.0985052652039967
AT1G04013	47.4022588729858	-0.109870230365197	0.384911633131135	-0.285442737782274	0.775304968787734	0.934587587690294
AT1G01180	1454.82556627725	0.106552451217205	0.232155978136419	0.45896923298091	0.646256260352732	0.887380933679707
AT1G01183	10.8131842441961	-0.742000298713992	0.797486693073664	-0.930423422934097	0.352151895734982	0.723246026576808
AT1G01190	1269.8479276604	0.480687479503104	0.103640683461036	4.63801919719892	3.51764120652958e-06	0.000166834818643891
AT1G01200	94.4508893000474	0.270242060029119	0.301134117367526	0.89741428965784	0.369497890282298	0.736002301375644
AT1G01210	1585.44933876621	-0.0793696409092266	0.136758786448116	-0.580362278509529	0.561670337372678	0.847175811119887
AT1G01220	3365.67740885104	-0.0817059743724817	0.110491574219535	-0.739476968715644	0.459617419913332	0.794166320250656
AT1G01225	431.299980298778	-0.146755879229863	0.137672129364468	-1.06598103702854	0.286432214145444	0.664244197873656
AT1G01230	3753.85417555549	-0.0980283397973467	0.132319435816613	-0.740846113742568	0.458786751399831	0.79411247784362
AT1G01240	2673.01354472687	0.0486979670367385	0.112209049120625	0.433993224418005	0.664293361293	0.894402466653406
AT1G01250	27.7538319767985	1.24289119262237	0.601607962299192	2.06594870831223	0.0388333229644708	0.234327144562049
AT1G01260	5726.12453262625	-0.181952641920019	0.243700341403075	-0.746624485105143	0.455290264226703	0.793341601766223
AT1G01280	80.8994945568109	-0.213279833323777	0.375818194422077	-0.567508003841466	0.570369090288535	0.851540922738157
AT1G01290	2129.23004980119	0.0616702194997345	0.0904390845286747	0.681897874366268	0.49530352960052	0.814347940133712
AT1G01300	7974.24070799032	-0.280571651274949	0.101710814340328	-2.75852330054252	0.00580631656716095	0.0674414954622902
AT1G01305	153.553597238749	1.00961683249212	0.482533196903235	2.09232616319782	0.0364093488320736	0.225769994444046
AT1G01310	3960.53519845281	0.399449023352199	0.297286481627054	1.34365014233412	0.179061546834645	0.535913240396169
AT1G01320	83216.1781163016	0.807042769326652	0.279597357016936	2.88644634533425	0.00389619172881963	0.0511972910031431
AT1G01340	6769.11338180066	-0.0503710193555089	0.257543801886086	-0.195582339728713	0.844937084169452	0.958144153276531
AT1G01350	3537.90637285864	0.0761816746327624	0.138733587055283	0.549122070940222	0.582921679655068	0.8581424424302
AT1G01355	38.1511157876349	-0.541615347804113	0.325480512481482	-1.66404846691068	0.0961027441658464	0.393277351001992
AT1G01360	1831.32005795992	0.212485379775363	0.151930949740391	1.3985654676578	0.161943327763106	0.511989488718859
AT1G01370	384.657020507338	-0.194892571643249	0.148593080720746	-1.31158577975454	0.189659933623684	0.549489741466929
AT1G01380	564.728638959822	0.190700766279977	0.275845805880948	0.691331034274567	0.489357533226785	0.810867654297723
AT1G01390	249.543829572106	0.191238574469738	0.23566721836648	0.811477199906303	0.417091681163112	0.767395145832306
AT1G01400	33.8537619177836	-0.556099601424332	0.720424008448199	-0.771905981620708	0.440170114303417	0.783505891289715
AT1G01410	33.8215886047824	-0.187249561217334	0.487648383987238	-0.383984787740494	0.700989722468295	0.908549730859132
AT1G01420	562.309964876499	0.217539912344717	0.193998186125185	1.12135023883337	0.262138808639169	0.639441317438087
AT1G01430	2623.74174460712	0.314249008003675	0.156007336915124	2.01432198137349	0.0439757395965926	0.252738486188888
